Year,Month,Day,Hour,Minute,T,CMD,Lat
1612,3,12,9,45,1,-67.9,3.7
1612,3,12,9,45,1,-59,0.9
1612,3,12,9,45,1,-58.4,0.2
1612,3,26,6,45,1,-56.1,-10.1
1612,3,26,6,45,1,3.1,13.4
1612,3,27,6,45,1,-42.4,-9.9
1612,3,27,6,45,1,17.1,14.4
1612,3,28,9,50,1,-29.2,-9.8
1612,3,28,9,50,1,31.8,13.3
1612,4,3,6,30,1,-56.1,19.9
1612,4,3,6,30,1,-13.7,-23.3
1612,4,3,6,30,1,-21.6,-22.6
1612,4,3,6,30,1,-21.7,-21.2
1612,4,3,6,30,1,-19.4,-24
1612,4,3,6,30,1,-19.8,-22.9
1612,4,3,6,30,1,-17.6,-23.8
1612,4,3,6,30,1,-17.7,-22.9
1612,4,3,6,30,1,-22.5,-22.4
1612,4,3,6,30,1,59.5,-22.7
1612,4,3,6,30,1,60.7,-22
1612,4,3,6,30,1,44,-3.9
1612,4,3,6,30,1,45,-4.9
1612,4,3,6,30,1,18.3,2.8
1612,4,4,6,30,1,-40.6,18.8
1612,4,4,6,30,1,-1.5,-22.4
1612,4,4,6,30,1,-3.7,-22.4
1612,4,4,6,30,1,-7.5,-20.9
1612,4,4,6,30,1,-6.2,-21.9
1612,4,4,6,30,1,-5.9,-20.8
1612,4,4,6,30,1,57,-2.1
1612,4,6,5,45,1,-14.3,19.5
1612,4,6,5,45,1,22.1,-20.3
1612,4,6,5,45,1,17.2,-19.8
1612,4,6,5,45,1,16.6,-20.8
1612,4,6,5,45,1,27.1,16.9
1612,4,6,5,45,1,20.6,16.3
1612,4,6,5,45,1,20.1,14.9
1612,4,7,5,30,1,-3.3,17.5
1612,4,7,5,30,1,34.8,-22.8
1612,4,7,5,30,1,32.4,-22.7
1612,4,7,5,30,1,37.2,-23
1612,4,7,5,30,1,35,14.3
1612,4,7,5,30,1,25.2,17.2
1612,4,7,5,30,1,25.5,12.9
1612,4,7,5,30,1,29.9,15
1612,4,8,6,30,1,-45,21.4
1612,4,8,6,30,1,37.9,22.1
1612,4,8,6,30,1,47.1,25.8
1612,4,8,6,30,1,35,22.1
1612,4,8,6,30,1,43.3,22.9
1612,4,8,6,30,1,33.4,25.2
1612,4,10,6,30,1,-27,26.9
1612,4,10,6,30,1,-29.5,27.1
1612,4,10,6,30,1,49.5,18.3
1612,4,10,6,30,1,58.3,20.9
1612,4,10,6,30,1,48.3,20.2
1612,4,10,6,30,1,49.6,16.9
1612,4,11,6,30,1,-15.7,28.7
1612,4,11,6,30,1,62.4,19
1612,4,11,6,30,1,71.8,20
1612,4,11,6,30,1,71.6,22.1
1612,4,11,6,30,1,69.9,20.6
1612,4,11,6,30,1,72.9,21.3
1612,4,11,6,30,1,62.6,21
1612,4,11,6,30,1,-16.6,28.6
1612,4,11,6,30,1,-18.1,28.2
1612,4,11,6,30,1,-13.8,28.5
1612,4,11,6,30,1,-14.6,27.3
1612,4,11,6,30,1,-12.7,27.4
1612,4,29,8,30,1,-52.1,24.4
1612,4,29,8,30,1,-45.5,17
1612,4,29,8,30,1,-40.2,15.9
1612,4,29,8,30,1,-35.1,15.3
1612,4,29,8,30,1,-29.1,15.5
1612,4,29,8,30,1,-45.4,23
1612,4,29,8,30,1,-49.9,21
1612,4,29,8,30,1,16.2,-34.8
1612,4,29,8,30,1,31.7,-28.6
1612,4,29,8,30,1,-36,19.9
1612,4,29,8,30,1,-40.7,21.4
1612,4,29,8,30,1,-43.6,20.2
1612,4,29,8,30,1,-30.6,18.4
1612,4,30,5,0,1,-41.2,26.9
1612,4,30,5,0,1,-33.5,17
1612,4,30,5,0,1,-29.3,16.2
1612,4,30,5,0,1,-24.6,14.2
1612,4,30,5,0,1,-17.2,14.6
1612,4,30,5,0,1,-35.1,24.9
1612,4,30,5,0,1,-40.8,23.2
1612,4,30,5,0,1,28.6,-35.6
1612,4,30,5,0,1,48,-32.6
1612,4,30,5,0,1,42.2,-24.7
1612,4,30,5,0,1,-38.7,18.1
1612,4,30,5,0,1,-20.8,17.6
1612,4,30,5,0,1,-25.1,20.3
1612,4,30,5,0,1,-29.4,21.9
1612,4,30,5,0,1,-33.8,21.6
1612,5,1,6,0,1,-29.1,27.8
1612,5,1,6,0,1,-21.8,16.3
1612,5,1,6,0,1,-16.7,15.7
1612,5,1,6,0,1,-12,14.5
1612,5,1,6,0,1,-7.9,13.6
1612,5,1,6,0,1,-23,24.7
1612,5,1,6,0,1,-30.3,24.4
1612,5,1,6,0,1,39,-39.5
1612,5,1,6,0,1,-8.6,16.4
1612,5,1,6,0,1,-26.9,17.5
1612,5,1,6,0,1,-15.3,20.9
1612,5,1,6,0,1,-19.9,20.6
1612,5,2,5,30,1,-21.8,24.7
1612,5,2,5,30,1,-15,21.7
1612,5,2,5,30,1,-10,18.7
1612,5,2,5,30,1,5.5,13.9
1612,5,2,5,30,1,-57.2,19.1
1612,5,2,5,30,1,-68.8,-4.9
1612,5,2,5,30,1,-16.9,14.3
1612,5,2,5,30,1,-11.5,18.3
1612,5,2,5,30,1,-11.6,13.3
1612,5,2,5,30,1,-6.2,17.6
1612,5,2,5,30,1,-6.5,13.1
1612,5,2,5,30,1,-1,16.5
1612,5,2,5,30,1,-2.4,12.7
1612,5,2,5,30,1,1.3,14
1612,5,2,5,30,1,-19.6,20
1612,5,2,5,30,1,-64.7,19.8
1612,5,2,5,30,1,19.7,-20.9
1612,5,2,5,30,1,18,-20.3
1612,5,2,5,30,1,58,-27.8
1612,5,3,5,0,1,-6.6,22.8
1612,5,3,5,0,1,-0.9,19.6
1612,5,3,5,0,1,3.6,17.5
1612,5,3,5,0,1,18.3,13.4
1612,5,3,5,0,1,-42.4,18.2
1612,5,3,5,0,1,-57,-5.2
1612,5,3,5,0,1,-67.5,-5.1
1612,5,3,5,0,1,8.2,16
1612,5,3,5,0,1,-5.3,12.4
1612,5,3,5,0,1,13.2,13.7
1612,5,3,5,0,1,-1.5,12.1
1612,5,3,5,0,1,3.8,11.8
1612,5,3,5,0,1,8.3,12.4
1612,5,3,5,0,1,9.4,11.2
1612,5,3,5,0,1,-0.3,18.1
1612,5,3,5,0,1,1.1,19.7
1612,5,3,5,0,1,1.6,18
1612,5,3,5,0,1,9.9,15.6
1612,5,3,5,0,1,68.8,-25.4
1612,5,4,5,0,1,8.9,24.1
1612,5,4,5,0,1,14.5,21.5
1612,5,4,5,0,1,19.7,18.7
1612,5,4,5,0,1,34,16
1612,5,4,5,0,1,-32.7,18.7
1612,5,4,5,0,1,-46.2,-7.4
1612,5,4,5,0,1,-56.8,-6.5
1612,5,4,5,0,1,-44.2,-4.1
1612,5,4,5,0,1,-47.8,-4.4
1612,5,4,5,0,1,29.8,16.4
1612,5,4,5,0,1,15.2,14.7
1612,5,4,5,0,1,24.9,17.5
1612,5,4,5,0,1,17.9,19.2
1612,5,4,5,0,1,19.6,20
1612,5,4,5,0,1,12.7,15
1612,5,4,5,0,1,35.3,18.3
1612,5,4,5,0,1,20.8,14.6
1612,5,4,5,0,1,25.4,14.7
1612,5,4,5,0,1,20.7,17.8
1612,5,4,5,0,1,21.3,20.4
1612,5,4,5,0,1,21.3,19.1
1612,5,7,9,0,1,-31.4,-26.7
1612,5,7,9,0,1,-21.4,-14.9
1612,5,7,9,0,1,-11.6,-12.9
1612,5,7,9,0,1,-12.8,-13.2
1612,5,7,9,0,1,-20.4,-13.5
1612,5,7,9,0,1,37.4,20.2
1612,5,7,9,0,1,41.6,9.5
1612,5,7,9,0,1,42.2,17.7
1612,5,7,9,0,1,48.1,9.4
1612,5,7,9,0,1,46.7,15.4
1612,5,7,9,0,1,54.3,9.8
1612,5,7,9,0,1,47.3,14.4
1612,5,7,9,0,1,60.3,10.6
1612,5,7,9,0,1,69.5,9.3
1612,5,7,9,0,1,53.4,12.4
1612,5,7,9,0,1,53.4,13.4
1612,5,8,4,45,1,-23.2,-27.2
1612,5,8,4,45,1,-11.1,-14.1
1612,5,8,4,45,1,1,-12.6
1612,5,8,4,45,1,-0.2,-14.3
1612,5,8,4,45,1,59.2,19.4
1612,5,8,4,45,1,69.6,11.6
1612,5,8,4,45,1,66.5,9.7
1612,5,8,4,45,1,69.2,12.9
1612,5,8,4,45,1,66.6,11.7
1612,5,9,11,0,1,-6.6,-26.5
1612,5,9,11,0,1,5.7,-14.2
1612,5,9,11,0,1,18.5,-13.6
1612,5,9,11,0,1,17.4,-15.7
1612,5,9,11,0,1,-63.8,-9.4
1612,5,13,17,15,1,-5.8,-13.8
1612,5,13,17,15,1,25.4,-17.3
1612,5,14,9,15,1,2.8,-14.5
1612,5,14,9,15,1,36.1,-16.9
1612,5,15,14,15,1,11.9,-14.8
1612,5,15,14,15,1,46.1,-15.3
1612,5,15,14,15,1,9.6,-14
1612,5,16,4,15,1,28.5,-13.5
1612,5,16,4,15,1,60.6,-18
1612,5,16,4,15,1,25.9,-13.2
1612,5,16,4,15,1,57.7,-8.7
1612,5,16,4,15,1,-2,13.1
1612,5,16,4,15,1,-1.1,14.3
1612,5,16,4,15,1,-2.3,14.1
1612,5,23,4,30,1,-71.1,21.1
1612,5,23,4,30,1,-25.5,23
1612,5,23,4,30,1,-13.2,27.6
1612,5,23,4,30,1,-7.7,25.6
1612,5,23,4,30,1,17.2,10.1
1612,5,25,4,30,1,-31.3,22.7
1612,5,25,4,30,1,-1.9,24.4
1612,5,25,4,30,1,11,26.7
1612,5,25,4,30,1,15.4,24.6
1612,5,25,4,30,1,33.1,10.2
1612,5,25,4,30,1,-64.1,35.5
1612,5,25,4,30,1,-32.5,28.1
1612,5,25,4,30,1,-27.5,24.4
1612,5,27,6,0,1,-45.4,18.3
1612,5,27,6,0,1,-23.3,17
1612,5,27,6,0,1,-22.9,12.3
1612,5,27,6,0,1,16.7,22.5
1612,5,27,6,0,1,17.1,15.9
1612,5,27,6,0,1,56.2,20.3
1612,5,27,6,0,1,-19.2,14.4
1612,5,28,4,30,1,-29.8,20.3
1612,5,28,4,30,1,-8.9,18.8
1612,5,28,4,30,1,-8.1,13.2
1612,5,28,4,30,1,29.7,28.3
1612,5,28,4,30,1,30.4,18.6
1612,5,28,4,30,1,32.8,33.3
1612,5,28,4,30,1,27.8,33.5
1612,5,28,4,30,1,34.7,29.1
1612,5,28,4,30,1,70.3,18.5
1612,5,28,4,30,1,-3.6,12.5
1612,5,28,4,30,1,-2.6,11.7
1612,5,28,4,30,1,-65.3,15.5
1612,5,29,4,30,1,-20.5,20.9
1612,5,29,4,30,1,-0.3,16.5
1612,5,29,4,30,1,0.4,11.6
1612,5,29,4,30,1,42.7,24.1
1612,5,29,4,30,1,41.4,14.6
1612,5,29,4,30,1,-47,19.8
1612,5,29,4,30,1,-59.4,17.3
1612,5,29,4,30,1,-24.4,-16
1612,5,29,4,30,1,-15.1,-14.8
1612,5,29,4,30,1,-19.2,-16.6
1612,5,29,4,30,1,15.1,-9.9
1612,5,29,4,30,1,45,30.9
1612,5,29,4,30,1,48.6,28.5
1612,5,29,4,30,1,38.4,30.5
1612,5,30,4,30,1,-4.8,22.4
1612,5,30,4,30,1,14.1,17.7
1612,5,30,4,30,1,15.3,13.7
1612,5,30,4,30,1,52.5,23.8
1612,5,30,4,30,1,55.5,15.9
1612,5,30,4,30,1,-34.5,21.5
1612,5,30,4,30,1,-43,19.1
1612,5,30,4,30,1,24.3,-10.5
1612,5,30,4,30,1,-13,-17.7
1612,5,30,4,30,1,-0.8,-16.9
1612,5,30,4,30,1,-6.8,-19.8
1612,5,30,4,30,1,60.3,28.8
1612,5,30,4,30,1,48.4,29.2
1612,5,30,4,30,1,53.9,29.2
1612,5,31,4,30,1,1,20.5
1612,5,31,4,30,1,23.9,16
1612,5,31,4,30,1,26,12.1
1612,5,31,4,30,1,69.8,23.7
1612,5,31,4,30,1,72,14.8
1612,5,31,4,30,1,71,16.1
1612,5,31,4,30,1,72.9,13.6
1612,5,31,4,30,1,72.4,22.1
1612,5,31,4,30,1,-26.2,19.6
1612,5,31,4,30,1,-33.7,17
1612,5,31,4,30,1,2.8,-19.3
1612,5,31,4,30,1,16.1,-14.9
1612,5,31,4,30,1,14.3,-15.6
1612,5,31,4,30,1,9,-18.1
1612,5,31,4,30,1,35.9,-9.6
1612,5,31,4,30,1,35.9,-8.5
1612,5,31,4,30,1,37,-10
1612,5,31,4,30,1,60,-20
1612,6,4,16,30,1,-60.1,14.4
1612,6,4,16,30,1,-54.8,16.8
1612,6,4,16,30,1,-43.9,14.9
1612,6,4,16,30,1,-11.6,16.3
1612,6,4,16,30,1,-8.5,15.7
1612,6,4,16,30,1,-5.7,15.5
1612,6,4,16,30,1,3,15.8
1612,6,4,16,30,1,20.3,24.2
1612,6,4,16,30,1,21.8,19
1612,6,4,16,30,1,28.6,18.5
1612,6,4,16,30,1,53.8,19.2
1612,6,4,16,30,1,0.5,15.7
1612,6,6,4,30,1,-42.2,16
1612,6,6,4,30,1,-39.2,19.3
1612,6,6,4,30,1,-27.1,18.9
1612,6,6,4,30,1,1.1,19.2
1612,6,6,4,30,1,3.9,16.7
1612,6,6,4,30,1,6.3,14.7
1612,6,6,4,30,1,16.2,16.2
1612,6,6,4,30,1,35.2,19.4
1612,6,6,4,30,1,37.8,14.8
1612,6,6,4,30,1,44.4,16.3
1612,6,6,4,30,1,-62.4,-25.2
1612,6,6,4,30,1,-50.6,10.1
1612,6,6,4,30,1,-56.7,9.7
1612,6,6,4,30,1,-72.8,13.7
1612,6,8,17,15,1,-42.1,23.2
1612,6,8,17,15,1,-36.4,22.6
1612,6,8,17,15,1,-37.3,-17.6
1612,6,8,17,15,1,-26,12.5
1612,6,8,17,15,1,-17.1,11.6
1612,6,8,17,15,1,-1.4,19
1612,6,8,17,15,1,1.6,19.8
1612,6,8,17,15,1,14.1,15.4
1612,6,8,17,15,1,4.1,20.3
1612,6,8,17,15,1,-19.7,11.6
1612,6,8,17,15,1,11.3,15
1612,6,8,17,15,1,49,16.5
1612,6,8,17,15,1,59.2,5.7
1612,6,8,17,15,1,58.7,3.3
1612,6,10,4,45,1,-21.6,22.2
1612,6,10,4,45,1,-16.8,20.8
1612,6,10,4,45,1,-16,-16.4
1612,6,10,4,45,1,-5.6,14.8
1612,6,10,4,45,1,5.5,13.4
1612,6,10,4,45,1,16.7,19.2
