Year,Lat
1644.496,-10.168
1644.499,-7.402
1644.499,-9.980
1644.499,-11.287
1644.505,-5.904
1644.505,-9.325
1644.505,-10.575
1644.508,-5.755
1644.508,-9.288
1644.508,-10.868
1644.508,8.613
1644.511,-5.933
1644.511,-9.354
1644.511,-10.599
1644.511,8.163
1644.514,-5.622
1644.514,-9.529
1644.514,-11.455
1644.514,7.031
1644.519,-6.177
1644.519,-10.422
1644.519,-11.482
1644.519,6.394
1644.519,-6.250
1644.522,-7.068
1644.522,-10.102
1644.522,-11.799
1644.522,5.499
1644.522,-6.381
1644.525,-7.048
1644.525,-11.040
1644.525,6.111
1644.525,-5.814
1644.527,-7.569
1644.527,5.638
1644.527,-6.714
1644.530,-7.175
1644.533,-6.894
1644.571,-7.454
1644.571,5.289
1644.574,-7.019
1644.574,6.148
1644.577,-6.360
1644.577,6.270
1644.579,-6.081
1644.579,6.889
1644.582,-5.707
1644.582,7.939
1644.589,-5.340
1644.592,-5.746
1644.594,-6.450
1644.657,-6.677
1644.660,-6.384
1644.672,11.871
1644.689,11.821
1644.691,11.565
1644.694,10.818
1644.697,10.409
1644.749,3.092
1644.755,3.216
1644.755,-11.833
1644.761,3.233
1644.761,-11.227
1644.764,2.523
1644.772,17.011
