STATION,INITIAL,FINAL,TOT.OBS,OBSERVER
361,1892,1909,3619,"SCHWAB, KREMSMUNSTER"
362,1893,1918,7620,CATANIA
363,1893,1893,126,"LEWITZKY, CHARKOW"
364,1894,1895,186,"FAUQUEZ, ZURICH"
365,1894,1894,139,"WONASZEK, KIS-KARTAL"
366,1894,1910,1883,"SYKORA, CHARKOW"
367,1895,1896,233,"HOFFLER, ZURICH"
368,1895,1907,1279,"LEWITZKY, JURJEW"
369,1895,1901,632,"MAIER, SCHAUFLING"
370,1896,1935,9492,"BROGER, ZURICH"
371,1896,1900,154,"TILLSON, L.O., BOSTON U., MA"
372,1896,1897,160,"MORGAN, H.R., LEANDER MCCORMICK OBS."
373,1897,1901,254,"OLIVER, A.I., BOSTON U., MA"
374,1897,1898,113,"LYON, J.A., LEANDER MCCORMICK OBS."
375,1898,1900,149,"JASTREMSKY, B., CHARKOW"
376,1898,1919,2881,"WOINOFF, MOSCOW"
377,1898,1900,135,"MIRKOWITSCH, JAROSLAW"
378,1898,1903,530,"FREYBERG, ST. PETERSBURG"
379,1898,1901,649,"KAULBARS, ST. PETERSBURG"
380,1899,1918,1965,"KLEINER, ZOBTEN"
381,1900,1900,102,"KITSCHIGIN, SPITZBERGEN"
382,1900,1908,1017,"SUBBOTIN, ST. PETERSBURG"
383,1901,1908,603,"GORJATSCHY, MOSCOW"
384,1901,1903,202,"LARIONOFF, MOHILEW"
385,1901,1902,179,"STRUVE, CHARKOW"
386,1902,1925,6340,"GUILLAUME, LYON"
387,1902,1910,1057,"SCHATKOW, KOLA"
388,1902,1910,1715,"MESSERSCHMITT, MUNCHEN"
389,1903,1925,2760,"STEMPELL, HANNOVER"
390,1903,1906,672,AMHERST COLLEGE OBSERVATORY
391,1903,1906,359,BOSTON UNIVERSITY OBS.
392,1904,1909,58,"MOROSOFF, MOSCOW"
393,1904,1905,230,"OSSIPOFF, TASCHKENT"
394,1905,1912,455,"WASNETZOFF, MOSCOW"
395,1906,1906,144,"BELAR, LAIBACH"
396,1906,1916,1748,"HRASE, PRAGUE"
397,1906,1906,127,"BRUNNER, CHUR"
398,1906,1916,1674,"BODOCS, OGYALLA"
399,1907,1907,114,"GINORI, FLORENCE"
400,1907,1908,113,"SORMANO, TURIN"
401,1907,1919,2748,"BEMMELEN, BATAVIA"
402,1907,1907,155,"SYKORA, TASCHKENT"
403,1908,1909,377,"BISKE, ZURICH"
404,1908,1908,51,"SCHONBERG, JURJEW"
405,1908,1914,1190,"LUCCHINI, FLORENCE"
